file_name,folder,mean_r,mean_g,mean_b,var_r,var_g,var_b,overall_var
..\HAM10000_images_part_1\ISIC_0024306.jpg,HAM10000_images_part_1,214.74282962962963,117.62307777777778,118.45405555555556,784.3934337709743,1069.4037777865435,1142.5141779969133,3077.044322798201
..\HAM10000_images_part_1\ISIC_0024307.jpg,HAM10000_images_part_1,216.40863703703704,124.30512962962963,130.5599,154.40075651270234,445.4782033165296,595.5777675455555,2164.2837846790126
..\HAM10000_images_part_1\ISIC_0024308.jpg,HAM10000_images_part_1,211.50534814814816,128.1366148148148,127.85492962962962,1708.8428528787929,2803.6879141701506,3248.1013582913442,4136.634882054684
..\HAM10000_images_part_1\ISIC_0024309.jpg,HAM10000_images_part_1,193.4726814814815,107.05946296296297,117.56210740740741,339.4010388837311,678.0194530449247,491.50838711438956,1985.1946409378083
..\HAM10000_images_part_1\ISIC_0024310.jpg,HAM10000_images_part_1,201.12525925925925,133.74137777777779,130.97417777777778,846.2875841920439,1046.26515158321,1557.3898665461725,2202.138546592898
..\HAM10000_images_part_1\ISIC_0024311.jpg,HAM10000_images_part_1,228.55422962962962,137.75595555555554,143.14658888888889,310.4708221102332,1034.746812679506,1454.998241327284,2663.166469757292
..\HAM10000_images_part_1\ISIC_0024312.jpg,HAM10000_images_part_1,193.22104444444443,149.78511111111112,177.5634814814815,137.69037639061727,342.16768202469143,604.2594219533606,683.9810982240454
..\HAM10000_images_part_1\ISIC_0024313.jpg,HAM10000_images_part_1,217.3969925925926,181.88712962962964,196.2977962962963,458.2507005851303,1255.8752195387513,1595.7264618103563,1315.9278790642825
..\HAM10000_images_part_1\ISIC_0024314.jpg,HAM10000_images_part_1,186.97897407407407,163.45479259259258,188.65902962962963,206.5286505030315,417.10800814216725,752.4012725398628,591.0641176908629
..\HAM10000_images_part_1\ISIC_0024315.jpg,HAM10000_images_part_1,159.49545185185184,132.26571481481483,153.7210037037037,636.1425126476818,808.8019548964469,1215.9552166222086,1024.2034782585029
..\HAM10000_images_part_1\ISIC_0024316.jpg,HAM10000_images_part_1,215.17598148148147,115.93669259259259,107.7997037037037,204.13184903669412,824.1794329129079,959.0657036159121,3045.160337050809
..\HAM10000_images_part_1\ISIC_0024317.jpg,HAM10000_images_part_1,188.66488148148147,155.79684074074075,158.01297037037037,1041.769221504472,2920.6694707598213,4633.082513250975,3090.1469559977295
..\HAM10000_images_part_1\ISIC_0024318.jpg,HAM10000_images_part_1,206.55282222222223,146.59485555555557,136.62672962962964,555.6791727758024,684.3701135346914,634.7164433046778,1578.6974350432863
..\HAM10000_images_part_1\ISIC_0024319.jpg,HAM10000_images_part_1,192.02137407407406,153.3041814814815,132.26753333333335,1809.02263574155,1915.4901588115092,1721.642833322963,2427.8388816065294
..\HAM10000_images_part_1\ISIC_0024320.jpg,HAM10000_images_part_1,179.1923148148148,89.95572222222222,87.8740074074074,705.5774705675584,1029.0901542932097,790.2212517925378,2653.466987980027
..\HAM10000_images_part_1\ISIC_0024321.jpg,HAM10000_images_part_1,211.8363925925926,119.11295185185185,119.04618888888889,99.39244743105624,186.2122011384225,248.85287029024693,2090.1150422276537
..\HAM10000_images_part_1\ISIC_0024322.jpg,HAM10000_images_part_1,208.9952888888889,123.37954814814815,141.27404444444446,126.85722224987654,492.29838024027435,450.0160477906173,1715.9944400256004
..\HAM10000_images_part_1\ISIC_0024323.jpg,HAM10000_images_part_1,161.45878148148148,115.18196296296296,109.73821481481481,431.5223602929904,698.4488079986284,795.9755425908916,1180.4483861183344
..\HAM10000_images_part_1\ISIC_0024324.jpg,HAM10000_images_part_1,166.62214444444444,142.7555888888889,162.69403333333332,52.738577030987635,158.82767431987656,494.2914918062964,344.46192525814814
..\HAM10000_images_part_1\ISIC_0024325.jpg,HAM10000_images_part_1,219.1301962962963,120.33436666666667,117.37724074074075,347.2693859614678,901.3612248581484,1146.867619053155,3034.3910222064164
..\HAM10000_images_part_1\ISIC_0024326.jpg,HAM10000_images_part_1,209.24568518518518,115.22884074074074,110.46516296296296,397.2345906416324,493.0796948783402,438.7673715660356,2511.8551341127036
..\HAM10000_images_part_1\ISIC_0024327.jpg,HAM10000_images_part_1,201.33722592592594,125.17125555555556,129.50650370370371,534.49984534155,1376.1263863495058,1571.456231775912,2380.6610515925686
..\HAM10000_images_part_1\ISIC_0024328.jpg,HAM10000_images_part_1,216.46648888888888,162.25287037037037,134.2852,617.9033955239507,1420.480830649863,2277.345623922963,2602.473423616276
..\HAM10000_images_part_1\ISIC_0024329.jpg,HAM10000_images_part_1,201.8147962962963,167.22142222222223,161.32122962962964,274.64949588443073,362.752224051358,535.4289226361593,709.9705190624583
..\HAM10000_images_part_1\ISIC_0024330.jpg,HAM10000_images_part_1,177.21508888888889,139.3386074074074,169.12292592592593,122.93523306617284,521.0768857643894,691.9442669945128,710.5650819915502
..\HAM10000_images_part_1\ISIC_0024331.jpg,HAM10000_images_part_1,206.5557037037037,156.97394444444444,153.94695925925927,88.20748228257887,293.223443330247,333.5832422353772,820.026220679994
..\HAM10000_images_part_1\ISIC_0024332.jpg,HAM10000_images_part_1,213.8093851851852,159.94535555555555,168.5144,251.43785117755837,788.62570287358,977.7990667140741,1231.1095284282515
..\HAM10000_images_part_1\ISIC_0024333.jpg,HAM10000_images_part_1,147.23806296296297,124.87106296296297,131.83885185185184,455.779892692332,911.4067641293689,1211.9640831262002,947.0467437431552
..\HAM10000_images_part_1\ISIC_0024334.jpg,HAM10000_images_part_1,215.23547037037036,128.64104814814814,129.50725925925926,520.613424075048,1454.0424831976816,1847.0645843401917,2923.759104093278
..\HAM10000_images_part_1\ISIC_0024335.jpg,HAM10000_images_part_1,220.23624074074075,145.15657037037036,138.19127407407407,313.16834957167356,398.088122756159,458.55794015451306,1769.588005355572
..\HAM10000_images_part_1\ISIC_0024336.jpg,HAM10000_images_part_1,167.72875185185185,143.92975555555554,152.84556666666666,249.48462814582996,541.1223694217285,636.3721244196296,572.0367199664688
..\HAM10000_images_part_1\ISIC_0024337.jpg,HAM10000_images_part_1,215.38957407407406,149.86731851851852,143.9416925925926,62.2265024111797,40.50570673558299,156.5659965425377,1134.5526001068072
..\HAM10000_images_part_1\ISIC_0024338.jpg,HAM10000_images_part_1,183.91802592592592,146.17191111111111,147.32352962962963,199.43612099192043,202.65087619950611,264.9135174676406,529.5837902202469
..\HAM10000_images_part_1\ISIC_0024339.jpg,HAM10000_images_part_1,230.9006777777778,150.91496296296296,155.43924074074073,901.8027980591355,1115.46794648011,1209.3087157198213,2421.372280479921
..\HAM10000_images_part_1\ISIC_0024340.jpg,HAM10000_images_part_1,157.8254962962963,140.1344962962963,149.99077407407407,849.5849410499866,1094.2804811166527,1289.1894741415501,1130.0739170951856
..\HAM10000_images_part_1\ISIC_0024341.jpg,HAM10000_images_part_1,203.35603703703703,121.02175555555556,135.24550740740742,513.199985776406,1098.95893410321,1287.3325298166114,2257.6408465924696
..\HAM10000_images_part_1\ISIC_0024342.jpg,HAM10000_images_part_1,198.56902222222223,128.17152592592592,138.9849962962963,213.65081371061726,512.6729640419204,457.0322674814678,1352.5625452757065
..\HAM10000_images_part_1\ISIC_0024343.jpg,HAM10000_images_part_1,195.75175185185185,157.91507777777778,143.45193333333333,501.2562432273114,1643.085562290247,2426.3872377437037,2009.8060665624807
..\HAM10000_images_part_1\ISIC_0024344.jpg,HAM10000_images_part_1,194.29584814814814,151.17697037037038,163.45659629629628,1015.0273812806445,938.5302296361591,1412.2497235259123,1450.9453657561894
..\HAM10000_images_part_1\ISIC_0024345.jpg,HAM10000_images_part_1,197.62815555555557,144.8445888888889,139.96467037037036,51.25471689432099,178.2324362754321,309.5329481135664,861.3395935948728
..\HAM10000_images_part_1\ISIC_0024346.jpg,HAM10000_images_part_1,237.33303333333333,148.05973333333333,152.96715925925926,124.73538879888883,467.24867637333335,715.970117782044,2115.029797694863
..\HAM10000_images_part_1\ISIC_0024347.jpg,HAM10000_images_part_1,212.42802962962963,144.90568518518518,152.0210888888889,2087.9499387843066,2122.8404639749656,2147.051377480989,3036.935533279669
..\HAM10000_images_part_1\ISIC_0024348.jpg,HAM10000_images_part_1,200.89146296296298,113.13072592592593,103.02934814814815,82.26060860048014,266.39867369525376,388.35779794545954,2176.8921727827687
..\HAM10000_images_part_1\ISIC_0024349.jpg,HAM10000_images_part_1,162.3371148148148,103.28002962962962,125.64337777777777,2053.6495424905206,1755.7749241472698,2866.135102072099,2817.8852994264876
